category,item,calories,fat_g,saturated_fat_g,trans_fat_g,cholesterol_mg,sodium_mg,carb_g,fiber_g,sugars_g,protein_g,weight_watcher_points,item_type,size,milk_type
Iced Latte,"Butter Pecan Swirl Iced Latte with Skim Milk, Medium",260,0,0,0,NA,330,52,0,50,12,298,drink,medium,skim
Iced Latte,"Butter Pecan Swirl Iced Latte with Skim Milk, Small",170,0,0,0,NA,220,35,0,33,8,195,drink,small,skim
Iced Latte,"Butter Pecan Swirl Iced Latte with Whole Milk, Large",450,12,7,0,40,440,69,0,66,15,508,drink,large,whole
Iced Latte,"Butter Pecan Swirl Iced Latte with Whole Milk, Medium",330,9,5,0,30,330,52,0,49,11,373,drink,medium,whole
Iced Latte,"Butter Pecan Swirl Iced Latte with Whole Milk, Small",220,6,3.5,0,20,220,35,0,33,7,249.5,drink,small,whole
Iced Latte,"Matcha Iced Latte with Skim Milk, Large",240,0,0,0,NA,170,45,2,43,14,269,drink,large,skim
Iced Latte,"Matcha Iced Latte with Skim Milk, Medium",180,0,0,0,NA,125,34,1,32,11,201,drink,medium,skim
Iced Latte,"Matcha Iced Latte with Skim Milk, Small",120,0,0,0,NA,85,23,1,22,7,135,drink,small,skim
Iced Latte,"Matcha Iced Latte with Whole Milk, Large",340,12,7,0,35,170,44,2,43,13,377,drink,large,whole
Iced Latte,"Matcha Iced Latte with Whole Milk, Medium",250,9,5,0,25,130,33,1,32,10,277,drink,medium,whole
Iced Latte,"Matcha Iced Latte with Whole Milk, Small",170,6,3.5,0,20,85,22,1,21,7,187.5,drink,small,whole
Iced Macchiato,"Caramel Swirl Iced Macchiato with Skim Milk, Large",310,0,0,0,10,200,66,0,63,11,362,drink,large,skim
Iced Macchiato,"Caramel Swirl Iced Macchiato with Skim Milk, Medium",240,0,0,0,NA,150,49,0,47,8,279,drink,medium,skim
Iced Macchiato,"Caramel Swirl Iced Macchiato with Skim Milk, Small",160,0,0,0,NA,105,33,0,32,6,186,drink,small,skim
Iced Macchiato,"Caramel Swirl Iced Macchiato with Whole Milk, Large",380,8,4.5,0,30,200,65,0,63,11,436.5,drink,large,whole
Iced Macchiato,"Caramel Swirl Iced Macchiato with Whole Milk, Medium",290,6,3.5,0,20,150,49,0,47,8,332.5,drink,medium,whole
Iced Macchiato,"Caramel Swirl Iced Macchiato with Whole Milk, Small",190,4,2.5,0,15,105,33,0,31,5,218.5,drink,small,whole
Iced Macchiato,"French Vanilla Swirl Iced Macchiato with Skim Milk, Large",310,0,0,0,10,190,65,0,61,11,360,drink,large,skim
Iced Macchiato,"French Vanilla Swirl Iced Macchiato with Skim Milk, Medium",230,0,0,0,NA,150,49,0,46,8,268,drink,medium,skim
Iced Macchiato,"French Vanilla Swirl Iced Macchiato with Skim Milk, Small",160,0,0,0,NA,100,33,0,30,5,185,drink,small,skim
Iced Macchiato,"French Vanilla Swirl Iced Macchiato with Whole Milk, Large",380,8,4.5,0,30,200,65,0,60,10,434.5,drink,large,whole
Iced Macchiato,"French Vanilla Swirl Iced Macchiato with Whole Milk, Medium",280,6,3.5,0,20,150,49,0,45,8,320.5,drink,medium,whole
Iced Macchiato,"French Vanilla Swirl Iced Macchiato with Whole Milk, Small",190,4,2.5,0,15,100,33,0,30,5,217.5,drink,small,whole
Iced Macchiato,"Hazelnut Swirl Iced Macchiato with Skim Milk, Large",310,0,0,0,10,190,65,0,61,11,360,drink,large,skim
Iced Macchiato,"Hazelnut Swirl Iced Macchiato with Skim Milk, Medium",230,0,0,0,NA,150,49,0,46,8,268,drink,medium,skim
Iced Macchiato,"Hazelnut Swirl Iced Macchiato with Skim Milk, Small",160,0,0,0,NA,100,33,0,30,5,185,drink,small,skim
Iced Macchiato,"Hazelnut Swirl Iced Macchiato with Whole Milk, Large",380,8,4.5,0,30,200,65,0,60,10,434.5,drink,large,whole
Iced Macchiato,"Hazelnut Swirl Iced Macchiato with Whole Milk, Medium",280,6,3.5,0,20,150,49,0,45,8,320.5,drink,medium,whole
Iced Macchiato,"Hazelnut Swirl Iced Macchiato with Whole Milk, Small",190,4,2.5,0,15,100,33,0,30,5,217.5,drink,small,whole
Iced Macchiato,"Iced Macchiato with Skim Milk, Large",90,0,0,0,NA,135,14,0,12,8,94,drink,large,skim
Iced Macchiato,"Iced Macchiato with Skim Milk, Medium",70,0,0,0,NA,100,11,0,9,6,73,drink,medium,skim
Iced Macchiato,"Iced Macchiato with Skim Milk, Small",50,0,0,0,0,70,7,0,6,4,52,drink,small,skim
Iced Macchiato,"Iced Macchiato with Skim Milk and Sugar, Large",230,0,0,0,NA,135,49,0,47,8,269,drink,large,skim
Iced Macchiato,"Iced Macchiato with Skim Milk and Sugar, Medium",170,0,0,0,NA,100,37,0,35,6,199,drink,medium,skim
Iced Macchiato,"Iced Macchiato with Skim Milk and Sugar, Small",120,0,0,0,0,70,25,0,23,4,139,drink,small,skim
Iced Macchiato,"Iced Macchiato with Whole Milk, Large",160,8,4.5,0,25,135,14,0,12,8,168.5,drink,large,whole
Iced Macchiato,"Iced Macchiato with Whole Milk, Medium",120,6,3.5,0,20,105,10,0,9,6,126.5,drink,medium,whole
Iced Macchiato,"Iced Macchiato with Whole Milk, Small",80,4,2.5,0,10,70,7,0,6,4,84.5,drink,small,whole
Iced Macchiato,"Iced Macchiato with Whole Milk and Sugar, Large",290,8,4.5,0,25,140,49,0,46,8,332.5,drink,large,whole
Iced Macchiato,"Iced Macchiato with Whole Milk and Sugar, Medium",220,6,3.5,0,20,105,37,0,35,6,252.5,drink,medium,whole
Iced Macchiato,"Iced Macchiato with Whole Milk and Sugar, Small",150,4,2.5,0,10,70,25,0,23,4,171.5,drink,small,whole
Iced Macchiato,"Mocha Swirl Iced Macchiato with Skim Milk, Large",300,1,0.5,0,NA,160,65,2,58,10,348.5,drink,large,skim
Iced Macchiato,"Mocha Swirl Iced Macchiato with Skim Milk, Medium",230,1,0.5,0,NA,125,49,2,43,7,266.5,drink,medium,skim
Iced Macchiato,"Mocha Swirl Iced Macchiato with Skim Milk, Small",150,0.5,0,0,0,85,33,1,29,5,174,drink,small,skim
Iced Macchiato,"Mocha Swirl Iced Macchiato with Whole Milk, Large",370,9,5,0,25,170,64,2,57,9,423,drink,large,whole
Iced Macchiato,"Mocha Swirl Iced Macchiato with Whole Milk, Medium",280,7,4,0,20,125,48,2,43,7,320,drink,medium,whole
Iced Macchiato,"Mocha Swirl Iced Macchiato with Whole Milk, Small",180,4.5,2.5,0,10,85,32,1,29,5,206.5,drink,small,whole
Iced Macchiato,"Butter Pecan Swirl Iced Macchiato with Skim Milk, Large",310,0,0,0,NA,390,64,0,60,12,358,drink,large,skim
Iced Macchiato,"Butter Pecan Swirl Iced Macchiato with Skim Milk, Medium",230,0,0,0,NA,290,48,0,45,9,266,drink,medium,skim
Iced Macchiato,"Butter Pecan Swirl Iced Macchiato with Skim Milk, Small",160,0,0,0,NA,200,33,0,30,6,184,drink,small,skim
Iced Macchiato,"Butter Pecan Swirl Iced Macchiato with Whole Milk, Large",380,8,4.5,0,25,390,64,0,60,11,433.5,drink,large,whole
Iced Macchiato,"Butter Pecan Swirl Iced Macchiato with Whole Milk, Medium",280,6,3.5,0,20,300,48,0,45,8,320.5,drink,medium,whole
Iced Macchiato,"Butter Pecan Swirl Iced Macchiato with Whole Milk, Small",190,4,2.5,0,15,200,32,0,30,6,216.5,drink,small,whole
Iced Tea,"Iced Green Tea Sweetened, Large",140,0,0,0,0,15,33,0,22,1,161,drink,large,not applicable
Iced Tea,"Iced Green Tea Sweetened, Medium",100,0,0,0,0,10,25,0,25,1,124,drink,medium,not applicable
Iced Tea,"Iced Green Tea Sweetened, Small",70,0,0,0,0,10,16,0,16,1,85,drink,small,not applicable
Iced Tea,"Iced Green Tea Unsweetened, Large",5,0,0,0,0,15,0,0,0,1,4,drink,large,not applicable
Iced Tea,"Iced Green Tea Unsweetened, Medium",5,0,0,0,0,10,0,0,0,1,4,drink,medium,not applicable
Iced Tea,"Iced Green Tea Unsweetened, Small",5,0,0,0,0,10,0,0,0,1,4,drink,small,not applicable
Iced Tea,"Iced Tea Sweetened, Large",140,0,0,0,0,25,35,0,33,0,173,drink,large,not applicable
Iced Tea,"Iced Tea Sweetened, Medium",100,0,0,0,0,20,26,0,25,0,125,drink,medium,not applicable
Iced Tea,"Iced Tea Sweetened, Small",70,0,0,0,0,15,17,0,16,0,86,drink,small,not applicable
Iced Tea,"Iced Tea Sweetened Blueberry Flavored Tea, Large",150,0,0,0,0,25,38,0,33,0,183,drink,large,not applicable
Iced Tea,"Iced Tea Sweetened Blueberry Flavored Tea, Medium",110,0,0,0,0,20,28,0,25,0,135,drink,medium,not applicable
Iced Tea,"Iced Tea Sweetened Blueberry Flavored Tea, Small",80,0,0,0,0,15,19,0,17,0,97,drink,small,not applicable
Iced Tea,"Iced Tea Sweetened Raspberry Flavored, Large",150,0,0,0,0,25,38,0,33,0,183,drink,large,not applicable
Iced Tea,"Iced Tea Sweetened Raspberry Flavored, Medium",110,0,0,0,0,20,29,0,25,0,135,drink,medium,not applicable
Iced Tea,"Iced Tea Sweetened Raspberry Flavored, Small",80,0,0,0,0,15,19,0,17,0,97,drink,small,not applicable
Iced Tea,"Iced Tea Unsweetened, Large",5,0,0,0,0,25,2,0,0,0,5,drink,large,not applicable
Iced Tea,"Iced Tea Unsweetened, Medium",5,0,0,0,0,20,1,0,0,0,5,drink,medium,not applicable
Iced Tea,"Iced Tea Unsweetened, Small",5,0,0,0,0,15,1,0,0,0,5,drink,small,not applicable
Iced Tea,"Iced Tea Unsweetened Blueberry Flavored Tea, Large",20,0,0,0,0,25,5,0,0,0,20,drink,large,not applicable
Iced Tea,"Iced Tea Unsweetened Blueberry Flavored Tea, Medium",15,0,0,0,0,20,3,0,0,0,15,drink,medium,not applicable
Iced Tea,"Iced Tea Unsweetened Blueberry Flavored Tea, Small",10,0,0,0,0,15,2,0,0,0,10,drink,small,not applicable
Iced Tea,"Iced Tea Unsweetened Raspberry Flavored, Large",20,0,0,0,0,25,5,0,0,0,20,drink,large,not applicable
Iced Tea,"Iced Tea Unsweetened Raspberry Flavored, Medium",15,0,0,0,0,20,4,0,0,0,15,drink,medium,not applicable
Iced Tea,"Iced Tea Unsweetened Raspberry Flavored, Small",10,0,0,0,0,15,3,0,0,0,10,drink,small,not applicable
Iced Tea,"Sweet Tea, Large",310,0,0,0,0,25,79,0,78,0,388,drink,large,not applicable
Iced Tea,"Sweet Tea, Medium",230,0,0,0,0,20,60,0,58,0,288,drink,medium,not applicable
Iced Tea,"Sweet Tea, Small",150,0,0,0,0,15,40,0,39,0,189,drink,small,not applicable
Iced Tea,"Sweet Tea Blueberry Flavored, Large",330,0,0,0,0,30,86,0,81,0,411,drink,large,not applicable
Iced Tea,"Sweet Tea Blueberry Flavored, Medium",250,0,0,0,0,20,64,0,60,0,310,drink,medium,not applicable
Iced Tea,"Sweet Tea Blueberry Flavored, Small",170,0,0,0,0,15,43,0,40,0,210,drink,small,not applicable
Iced Tea,"Sweet Tea Raspberry Flavored, Large",330,0,0,0,0,30,86,0,81,0,411,drink,large,not applicable
Iced Tea,"Sweet Tea Raspberry Flavored, Medium",250,0,0,0,0,20,65,0,60,0,310,drink,medium,not applicable
Iced Tea,"Sweet Tea Raspberry Flavored, Small",170,0,0,0,0,15,43,0,40,0,210,drink,small,not applicable
Dunkin Refreshers,"Peach Passion Fruit Dunkin Refreshers, Large",180,0,0,0,0,20,43,0,39,1,218,drink,large,not applicable
Dunkin Refreshers,"Peach Passion Fruit Dunkin Refreshers, Medium",130,0,0,0,0,15,32,0,29,1,158,drink,medium,not applicable
Dunkin Refreshers,"Peach Passion Fruit Dunkin Refreshers, Small",90,0,0,0,0,10,21,0,20,0,110,drink,small,not applicable
Dunkin Refreshers,"Strawberry Dragonfruit Dunkin Refreshers, Large",170,0,0,0,0,20,39,0,37,1,206,drink,large,not applicable
Dunkin Refreshers,"Strawberry Dragonfruit Dunkin Refreshers, Medium",130,0,0,0,0,15,29,0,27,1,156,drink,medium,not applicable
Dunkin Refreshers,"Strawberry Dragonfruit Dunkin Refreshers, Small",80,0,0,0,0,10,19,0,18,0,98,drink,small,not applicable
Dunkin Refreshers,"Butter Pecan Swirl Frozen Chocolate, Large",900,17,13,0,40,570,175,1,162,12,1063,drink,large,not applicable
Dunkin Refreshers,"Butter Pecan Swirl Frozen Chocolate, Medium",700,14,10,0,30,430,134,1,124,9,825,drink,medium,not applicable
Dunkin Refreshers,"Butter Pecan Swirl Frozen Chocolate, Small",500,11,8,0,25,290,95,1,87,6,589,drink,small,not applicable
Kolache,Kolache (Regional),390,23,7,0,60,1020,31,1,7,15,389,food,not applicable,not applicable
Kolache,Kosher Beyond Sausage Sandwich,510,26,10,0,185,810,39,2,3,27,496,food,not applicable,not applicable
Kolache,Kosher Beyond Sausage Wake-Up Wrap,280,17,8,0,105,500,15,1,1,15,274,food,not applicable,not applicable
Kolache,Kosher Big n Toasted,610,37,10,0,340,1260,44,0,3,24,599,food,not applicable,not applicable
Kolache,Kosher Dunkin Double Veggie Sausage Sandwich,600,18,6,0,180,1460,74,6,8,37,577,food,not applicable,not applicable
Kolache,Kosher Egg and Cheese on an English Muffin,340,14,5,0,180,600,38,1,3,14,334,food,not applicable,not applicable
Kolache,Kosher Egg and Cheese Wake Up Wrap,170,10,4,0,95,410,14,0,1,7,168,food,not applicable,not applicable
Kolache,Kosher Grilled Cheese (Regional),420,23,12,0,55,840,36,0,3,17,418,food,not applicable,not applicable
Kolache,Kosher Grilled Cheese with Veggie Bacon (Regional),480,27,12,0,55,1060,38,0,3,19,476,food,not applicable,not applicable
Kolache,Kosher Power Breakfast Sandwich,360,16,6,0,25,800,30,6,5,26,345,food,not applicable,not applicable
Kolache,Kosher Tuna Melt on a Croissant,630,42,15,0,65,820,38,1,5,24,626,food,not applicable,not applicable
Kolache,Kosher Tuna Salad on a Plain Bagel,510,17,3,0,45,1060,64,4,7,24,496,food,not applicable,not applicable
Kolache,Kosher Veggie Bacon Egg and Cheese on a Plain Bagel,510,17,5,0,180,1170,68,4,7,21,501,food,not applicable,not applicable
Kolache,Kosher Veggie Bacon Wake-Up Wrap,200,12,4.5,0,95,520,15,0,1,8,197.5,food,not applicable,not applicable
Kolache,Kosher Veggie Sausage Egg and Cheese on a Croissant,570,33,13,0,180,840,44,2,6,23,566,food,not applicable,not applicable
Kolache,Kosher Veggie Sausage Wake-Up Wrap,210,11,4,0,95,540,16,1,1,11,204,food,not applicable,not applicable
Muffins,Blueberry Muffin,460,15,3,0,60,390,77,1,44,6,501,food,not applicable,not applicable
Muffins,Chocolate Chip Muffin,550,21,6,0,65,400,85,2,49,7,598,food,not applicable,not applicable
Muffins,Coffee Cake Muffin,590,24,8,0,65,370,88,2,51,7,642,food,not applicable,not applicable
Muffins,Corn Muffin,460,16,3,0,70,670,73,1,30,7,486,food,not applicable,not applicable
Muffins,Butternut Munchkins,90,4,2,0,NA,70,12,0,7,1,98,food,not applicable,not applicable
Muffins,Cinnamon Munchkins,60,3.5,1.5,0,NA,70,6,0,2,1,62.5,food,not applicable,not applicable
Muffins,Glazed Blueberry Munchkins,70,3.5,2,0,NA,65,8,0,4,1,75,food,not applicable,not applicable
Muffins,Glazed Chocolate Munchkins,60,3.5,1.5,0,0,80,8,0,4,1,64.5,food,not applicable,not applicable
Muffins,Glazed Munchkins,60,3,1.5,0,0,60,7,0,3,1,63.5,food,not applicable,not applicable
Muffins,Glazed Old Fashioned Munchkins,70,3.5,1.5,0,NA,70,8,0,4,1,74.5,food,not applicable,not applicable
Muffins,Jelly Munchkins,60,3,1.5,0,0,65,8,0,3,1,63.5,food,not applicable,not applicable
Muffins,Old Fashioned Munchkins,60,3.5,1.5,0,NA,70,6,0,2,1,62.5,food,not applicable,not applicable
Muffins,Powdered Munchkins,60,3.5,1.5,0,NA,70,6,0,2,1,62.5,food,not applicable,not applicable
Muffins,Multigrain Brown Sugar Oatmeal with Dried Fruit Topping,300,2.5,0,0,0,250,65,6,36,6,330,food,not applicable,not applicable
Muffins,Biscuit (Regional),270,14,9,0,10,640,32,1,2,5,276,food,not applicable,not applicable
Muffins,English Muffin,190,2,0,0,0,270,35,1,3,6,187,food,not applicable,not applicable
Muffins,Multigrain Thin,150,4,0.5,0,0,220,24,4,3,6,147.5,food,not applicable,not applicable
Muffins,Plain Croissant,340,19,8,0,0,250,37,1,5,6,347,food,not applicable,not applicable
Sandwiches,"Bacon, Egg and Cheese on a Plain Bagel",520,18,6,0,190,1200,67,4,8,23,511,food,not applicable,not applicable
Sandwiches,"Bacon, Egg and Cheese on Croissant",560,36,14,0,190,820,41,1,6,18,562,food,not applicable,not applicable
Sandwiches,"Bacon, Egg and Cheese on English Muffin",400,19,7,0,190,840,39,1,4,18,393,food,not applicable,not applicable
Sandwiches,"Bacon, Egg and Cheese Wake-Up Wrap",220,13,5,0,105,590,15,0,1,10,216,food,not applicable,not applicable
Sandwiches,Beyond Sausage Sandwich,510,26,10,0,185,820,40,2,3,26,497,food,not applicable,not applicable
Sandwiches,Beyond Sausage Wake Up Wrap,280,18,7,0,100,500,15,1,1,14,274,food,not applicable,not applicable
Sandwiches,Big n Toasted (Regional),600,36,11,0,360,1190,41,0,4,27,588,food,not applicable,not applicable
Sandwiches,"Biscuit, Bacon, Egg and Cheese (Regional)",490,31,15,0,195,1210,35,1,3,17,491,food,not applicable,not applicable
Sandwiches,Chicken Biscuit (Regional),460,22,11,0,45,1080,46,1,3,21,453,food,not applicable,not applicable
Sandwiches,Chicken Croissant Sandwich (Regional),650,36,14,0,65,1240,55,2,9,28,645,food,not applicable,not applicable
Sandwiches,Double Sausage Breakfast Sandwich,900,54,19,0,265,1980,70,5,8,33,894,food,not applicable,not applicable
Sandwiches,Egg and Cheese on a Plain Bagel,460,13,5,0,175,1010,66,4,8,19,454,food,not applicable,not applicable
Sandwiches,Egg and Cheese on Croissant,500,31,13,0,175,640,40,1,6,15,504,food,not applicable,not applicable
Sandwiches,Egg and Cheese on English Muffin,340,15,5,0,175,650,38,1,4,14,335,food,not applicable,not applicable
Sandwiches,Egg and Cheese Wake-Up Wrap,180,10,4,0,95,470,14,0,1,7,178,food,not applicable,not applicable
Sandwiches,Grilled Cheese (Regional),430,24,11,0,50,960,37,0,3,17,427,food,not applicable,not applicable
Sandwiches,Grilled Cheese with Bacon (Regional),490,29,13,0,60,1140,38,0,4,21,486,food,not applicable,not applicable
Sandwiches,Grilled Cheese with Ham (Regional),460,25,12,0,60,1220,38,0,4,22,454,food,not applicable,not applicable
Sandwiches,"Ham, Egg and Cheese on a Plain Bagel",490,14,5,0,190,1270,67,4,8,24,479,food,not applicable,not applicable
Sandwiches,"Ham, Egg and Cheese on Croissant",530,32,13,0,190,900,40,1,6,19,530,food,not applicable,not applicable
Sandwiches,"Ham, Egg and Cheese on English Muffin",370,15,5,0,190,910,39,1,4,19,360,food,not applicable,not applicable
Sandwiches,"Ham, Egg and Cheese Wake-Up Wrap",190,11,4,0,100,600,15,0,1,9,186,food,not applicable,not applicable
Sandwiches,Ham and Cheese Rollups,280,13,6,0,40,1050,27,1,2,13,275,food,not applicable,not applicable
Sandwiches,Power Breakfast Sandwich,420,23,8,0,60,980,28,5,5,25,408,food,not applicable,not applicable
Sandwiches,"Sausage, Egg and Cheese on a Plain Bagel",680,34,12,0,220,1500,68,5,8,26,674,food,not applicable,not applicable
Sandwiches,"Sausage, Egg and Cheese on Croissant",720,52,20,0,220,1120,42,2,6,21,725,food,not applicable,not applicable
Sandwiches,"Sausage, Egg and Cheese on English Muffin",560,35,12,0,220,1140,40,2,4,21,555,food,not applicable,not applicable
Sandwiches,"Sausage, Egg and Cheese Wake-Up Wrap",290,21,8,0,120,710,15,1,1,10,289,food,not applicable,not applicable
Sandwiches,Sausage Biscuit (Regional),490,34,16,0,45,1120,32,1,2,13,495,food,not applicable,not applicable
Sandwiches,Spam Breakfast Sandwich,630,42,17,0,200,1210,41,1,6,20,633,food,not applicable,not applicable
Sandwiches,Turkey Sausage Sandwich on English Muffin,460,22,7,0,240,1120,39,1,4,26,445,food,not applicable,not applicable
Sandwiches,Veggie Egg White Sandwich on a Multigrain Thin,290,13,5,0,20,550,27,5,4,17,282,food,not applicable,not applicable
Sandwiches,Sweet Black Pepper Bacon Sandwich,650,41,17,0,205,850,46,1,11,23,655,food,not applicable,not applicable
Sandwiches,Sweet Black Pepper Bacon Wake-Up Wrap,260,16,7,0,110,490,17,0,3,12,258,food,not applicable,not applicable
Sandwiches,Sweet Black Pepper Snacking Bacon,190,12,4.5,0,35,500,10,0,9,10,193.5,food,not applicable,not applicable
Sandwiches,Cinnamon Raisin Bagel,320,1,0,0,0,510,67,4,13,11,322,food,not applicable,not applicable
Sandwiches,Everything Bagel,340,3,0.5,0,0,630,67,5,8,12,336.5,food,not applicable,not applicable
Sandwiches,Multigrain Bagel,380,8,1,0,0,550,63,8,8,15,374,food,not applicable,not applicable
Sandwiches,Plain Bagel,300,1,0,0,0,620,64,4,7,11,296,food,not applicable,not applicable
Sandwiches,Sesame Seed Bagel,350,5,1,0,0,630,64,5,7,12,346,food,not applicable,not applicable
Sandwiches,White Cheddar Bagel Twist,390,8,4.5,0,20,760,64,4,7,16,385.5,food,not applicable,not applicable
Sandwiches,Kosher Sweet Black Pepper Bacon Sandwich,670,43,16,0,185,970,49,2,11,21,676,food,not applicable,not applicable
Sandwiches,Kosher Sweet Black Pepper Bacon Wake-Up Wrap,280,17,7,0,105,580,19,1,3,12,278,food,not applicable,not applicable
Sandwiches,Kosher Veggie Egg White Sandwich on a Multigrain Thin,290,13,5,0,20,550,27,5,4,17,282,food,not applicable,not applicable
Sandwiches,Bacon and Cheese Rollups,370,22,9,0,55,1160,28,1,3,16,366,food,not applicable,not applicable
Sandwiches,Ham and Cheese Rollups,280,13,6,0,40,1050,27,1,2,13,275,food,not applicable,not applicable
Sandwiches,Classic Plain Cream Cheese Spread,120,12,8,0,40,200,3,0,3,2,129,food,not applicable,cream
Sandwiches,Garden Veggie Cream Cheese Spread,100,10,6,0,35,200,2,0,1,2,105,food,not applicable,cream
Sandwiches,Strawberry Cream Cheese Spread,130,10,6,0,30,100,9,0,8,2,142,food,not applicable,cream
Sandwiches,Egg and Cheese DD Smart Wake-Up Wrap,180,10,4,0,95,470,14,0,1,7,178,food,not applicable,not applicable
Sandwiches,"Ham, Egg and Cheese DD Smart Wake-Up Wrap",190,11,4,0,100,600,15,0,1,9,186,food,not applicable,not applicable
Sandwiches,Turkey Sausage DD Smart Wake Up Wrap,240,14,5,0,125,700,15,0,1,13,233,food,not applicable,not applicable
Sandwiches,Turkey Sausage Wake Up Wrap,240,15,6,0,115,680,15,0,1,11,236,food,not applicable,not applicable
Sandwiches,Veggie Egg White DD Smart Wake-Up Wrap,150,7,3,0,20,490,15,1,1,7,147,food,not applicable,not applicable
Sandwiches,Veggie Egg White Wake-Up Wrap,190,10,4.5,0,20,390,15,1,1,9,186.5,food,not applicable,not applicable
Soft Serve,"Extra Thick Shake, Chocolate",610,20,13,0.5,70,320,92,3,85,19,689,food,not applicable,not applicable
Soft Serve,"Extra Thick Shake, Coffee",460,19,12,0.5,70,310,55,1,51,18,505,food,not applicable,not applicable
Soft Serve,"Extra Thick Shake, Vanilla",450,19,12,0.5,70,300,54,1,51,18,495,food,not applicable,not applicable
Soft Serve,Frozen Coffee Float,360,15,9,0.5,55,170,50,1,47,8,408,food,not applicable,not applicable
Soft Serve,M&M Mix-In,650,27,17,0.5,60,270,88,3,82,16,733,food,not applicable,not applicable
Soft Serve,OREO Mix-In,510,21,11,0.5,55,350,70,2,55,14,562,food,not applicable,not applicable
Soft Serve,Soft Serve Cone,260,9,6,0,35,160,35,1,27,9,284,food,not applicable,not applicable
Soft Serve,Strawberry Coolatta Float,420,12,8,0,50,210,68,1,64,11,481,food,not applicable,not applicable
Hash Browns,Hash Browns,130,6,1,0,0,420,12,2,0,5,126,food,not applicable,not applicable
Dunkin Bowls,Egg White Bowl,250,11,4,0,15,490,20,0,3,14,243,NA,not applicable,not applicable
